Abelcet	amphotericin b lipid complex
Arzerra	ofatumumab
Asmanex HFA	mometasone furoate
Asmanex Twisthaler	mometasone furoate inhalation powder
Astagraf XL	tacrolimus
Atgam	lymphocyte immune globulin/anti-thymocyte globulin
Atralin	tretinoin
Atripla	efavirenx/emtricitabine/tenofovir disoproxil fumarate
Atrovent HFA Inhalation Aerosol	ipratropium bromide
Aubagio tablets	teriflunomide
Auryxia Tablet	ferric citrate)
Austedo	deutetrabenazine
Auvi-Q	epinephrine injection
Avandia tablets	rosiglitazone maleate
Avastin	bevacizumab
Avonex	interferon beta-1a
Avycaz Vials	ceftazidime/avibactam
Aygestin	norethindrone acetate tablet
Azopt	brinzolamide suspension
Azor	amlodipine and olmesartan
Azulfidine	sulfasalazine
Bacitracin	bacitracin
Banzel	rufinamide
Baraclude Oral Solution	entecavir
Baraclude tablets	entecavir
Basaglar	insulin glargine injection
Bebulin	factor IX complex
Beconase AQ (nasal spray)	beclomethasone dipropionate
Beleodaq Powder	belinostat
Belsomra	suvorexant
Belviq tablet	lorcaserin hydrochloride
Bendeka Injection	bendamustine HCl
BeneFIX Coagulation Factor IX	recombinant
Benicar	olmesartan medoxomil
Benicar HCT	olmesartan medoxomil
Benlysta	belimumab
Bepreve Ophthalmic Solution 1.5%	bepotastine besilate
Berinert	c1 esterase inhibitor
Besivance	besifloxacin ophthalmic suspension
Besponsa	inotuzumab ozogamicin
Betaseron	interferon beta-1b
Bethkis Inhalation Solution	tobramycin
Betimol	timolol ophthalmic solution
Betoptic S	betaxolol hydrochloride suspension
Bevespi Aerosphere	glycopyrrolate and formoterol fumarate
Beyaz	drospirenon/ethinyl estradiol/levomefolate calcium
BiDil	isosorbide dinitrate and hydralazine hydrochloride
Biltricide	praziquantel
Blincyto	blinatumomab
Boost Kid Essentials	nutritional supplement
Boost Kid Essentials 1.5	nutritional supplement
Boost Kid Essentials 1.5 Fiber	nutritional supplement
Boost Original	nutritional supplement
Boost Plus	nutritional supplement
Boost VHC	nutritional supplement
Boostrix	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine
Bosulif	bosutinib
Botox	botulinum toxin type A
Breo Ellipta	fluticasone furoate and vilanterol inhalation powder
Brilinta Tablets	ticagrelor
Brineura	cerliponase alpa
Brisdelle Capsule	paroxetine
Briviact	brivaracetam
Brovana	Arformoterol Tartrate Inhalation Solution
Buphenyl Powder	sodium phenylbutyrate
Buphenyl Tablet	sodium phenylbutyrate
Butrans Transdermal System	buprenorphine
Bydureon	exenatide extended-release for injection suspension
Byetta	exenatide
Bystolic	nebivolol
Cabometyx	cabozantinib s-malate
Caduet	amlodipine besylate/atorvastatin calcium
Calan	verapamil HCl
Calquence	acalabrutinib
Campath 30mg	alemtuzumab
Camptosar	irinotecan hcl
Canasa	mesalamine
Cancidas	caspofungin acetate
Caprelsa	vandetanib
Carac Cream	fluorouracil cream
Carbaglu	carglumic acid
Carbatrol	carbamazepine
Cardura	doxazosin mesylate
Carimune NF	nanofiltered immune globulin intravenous (human)
Carnitor	levocarnitine (L-Carnitine)
Cathflo	alteplase
Caverject	alprostadil
Cayston	aztreonam for inhalation solution
Celebrex	celecoxib
CellCept	mycophenolate mofetil
Celontin	methsuximide
Cerdelga Capsule	eliglustat
Cerezyme	imiglucerase
Cetacaine	benzocaine
Cetrotide injection	cetrorelix acetate
Chantix	varenicline
Chemet Capsules	succimer
Cholbam capsule	cholic acid capsule
Cialis	tadalafil
CIMZIA	certolizumab pegol
Cinqair	reslizumab
Cinryze	c1 esterase inhibito
Cipro HC Otic	ciprofloxacin hydrochloride and hydrocortisone suspension
Ciprodex	ciprofloxacin and dexamethasone
Cleocin	clindamycin phosphate
Cleocin Phosphate	clindamycin phosphate
Climara Pro 0.045mg/.015mg	estradiol/levonorgestrel transdermal system
Clindagel Topical Gel	clinclamycin phosphate gel
Clolar	clofarabine injection
Clozapine	clozapine
Coartem	artmether and lumefantrine tablets
Colazal	balsalazide
Colcrys tablet	colchicine
Colestid	colestipol hcl
Combigan	brimonidine tartrate/timolol maleate opthalmic solution
Combivent Inhalation Aerosol	ipratropium bromide; albuterol sulfate
Combivir tablets	lamivudine/ziovudine tablets
Compleat	compleat
Compleat Pediatric	compleat pediatric
Complera	emtricitabine/rilpivirine/tenofovir disoproxil fumarate
Concerta	methyphenidate HCI
Copaxone	glatiramer acetate
Copegus	ribavirin
Coreg CR	carvedilol phosphate extended release capsules
Corgard	nadolol
Corifact	factor xiii concentrate (human)
Corlanor	ivabradine
Cortef	hydrocortisone cypionate
Corvert	ibutilide fumarate
Corzide	antihypertensive combinations
Cosentyx	secukinumab
Cosmegen Injection	dactinomycin injectable
Cosopt	dorzolamide HCl 2% Solution
Cotellic	cobimetinib
Creon Delayed-Release capsules	pancrelipase
Cresemba Capsule	isavuconazonium sulfate
Cresemba Injection	isavuconazonium sulfate
Crinone	progesterone gel
Crixivan	indinavir sulfate
Cubicin injection	daptomycin
Cuprimine capsules	penicillamine
Cuvitru	Immune Globulin Subcutaneous (Human)
Cyclogyl	cyclopentolate hydrochloride solution, USP
Cycloset tablet	bromocriptine mesylate tablets
Cyklokapron	tranexamic acid
Cymbalta	duloxetine hcl
Cyramza	ramucirumab injection
Cystadane	betaine anhydrous
Cystaran	cysteamine
Cytomel	liothyronine sodium
Cytotec	misoprostol
Cytra-K	potassium citrate
Daklinza	daclatasvir
Daliresp	roflumilast
Dalvance Vials	dalbavancin
Daraprim tablet	pyrimethamine
Darzalex	daratumumab
Daypro	oxaprozin
Defitelio	Defibrotide sodium
Delzicol DR Capsules	mesalamine
Demser capsules	metyrosine
Depakote	divalproex Na Tabs
Depakote ER Tablets	divalproex sodium extended release tablets
Depo Estradiol	estrodiol cypionate in oil
Depo Provera	medroxyprogesterone contraceptive injection
Depo-Medrol	sterile methylprednisolone acetate
Depo-subQ Provera 104	medroxyprogesterone acetate
Depo-Testosterone	testosterone cypionate
Depocyt	cytarabine liposome
Dermagraft Dermal Substitute 2x3	dermagraft
Dermazene cream	hydrocortisone/iodoquinol cream
Descovy	emtricitabine/tenofovir alafenamide
Desonate	desonide
Desoxyn tablet	methamphetamine hydrochloride
Detachol	adhesive remover
Detrol	tolterodine tartrate tablet
Detrol LA	tolterodine tartrate
Dexilant	dexlansoprazole
Diabetisource AC	diabetisource AC
Diclegis Tablet	doxylamine succinate/pyridoxine hydrochloride
Diflucan	fluconazole
Dilantin	phenytoin sodium capsule
Donnatal Tablet	Belladonna Alkaloids with Phenobarbital
Doxil	doxorubicin HCL liposome injection
Droxia	hydroxyurea
Duac Topical Gel	clindamycin phosphate/benzoyl peroxide
Duavee Tablet	conjugated estrogens/bazedoxifene
Duexis Tablet	ibuprofen/famotidine
Dulera Inhalation Aerosol	mometasone furoate/formoterol fumarate dihydrate
Durezol	difluprednate emulsion
Duzallo tablets	lesinurad and allopurinol
Dymista Nasal Spray	azelastine/fluticasone propionate
Dysport Injection	abobotulinumtoxinA
E.E.S. granules; oral	erythromycin ethylsuccinate granule; oral
Edarbi Tablet	azilsartan medoxomil
Edarbyclor Tablet	azilartan medoxomil/chlorthalidone
Edurant	rilpivirne
Effexor XR	venlafaxine
Effient Tablets	prasugrel
Egrifta	tesamorelin for injection
Elaprase Solution	idsulfase
Elidel	pimecrolimus
Eligard	leuprolide acetate
Eliquis	apixaban
Elitek	rasburicase
Ellence	epirubicin hcl
Elmiron	pentosan polysulfate sodium
Elocon Cream	mometasone furoate
Elocon Lotion	mometasone furoate
Eloctate Injection	antihemophilic factor recombinant fc fusion protein
Emadine	emedastine difumarate solution
Embeda	morphine sulfate and naltrexone hydrochloride
Emcyt	estramustine phosphate sodium
EMEND	aprepitant
EMEND for Injection	fosaprepitant dimeglumine
Emflaza	deflazacort
Empliciti	elotuzumab
EMSAM	selegiline transdermal
Emtriva	emtricitabine
Emtriva Oral Solution	emtricitabine oral solution
Emverm	mebendazole
Enbrel	etanercept
Enemeez	docusate sodium
Enfamil EnfaCare	infant formula
Enfamil Human Milk Fortifier Powder	infant formula
Enfamil Infant Formula Liquid	infant formula
Enfamil Infant Formula Powder	infant formula
Enfamil Reguline Powder	infant formula
Engerix-B	hepatitis B vaccine (recombinant)
Entereg Capsule	alvimopan
Entresto	sacubitril/valsartan
Entyvio Injection	vedolizumab
Envarsus XR	tacrolimus extended-release tablets
Epclusa	sofosbuvir/velpatasvir tablet
Epiduo Gel	adapalene and benzoyl peroxinde
Epinephrine auto injector .15mg	epinephrine auto injector
EpiPen	epinephrine
EpiPen Jr	epinephrine
Epivir oral solution	lamivudine oral solution
Epivir tablets	lamivudine
Epivir-HBV oral solution	lamivudine
Epivir-HBV tablets	lamivudine
Epogen	epoetin alfa
Epzicom tablets	abacavir sulfate and lamivudine
Equetro	carbamazepine
Eraxis	anidulafungin IV
Erbitux	cetuximab
Erivedge	vismodegib
Erleada Tablets	apalutamide
Erwinaze Injection	asparaginase erwinia chrysanthemi
EryPed	erythromycin ethylsuccinate for oral suspension
Esbriet Capsule	pirfenidone
Estrace Cream	estradiol vaginal cream
Estring	estradiol vaginal ring
Estrogel	estradiol gel
Etopophos	etoposide phosphate
Evista	raloxifene tablet
Evotaz Tablet	atazanavir/cobicistat
Evzio	naloxone hcl injection
Exalgo tablets	hydromorphine
Exjade	deferasirox
Extavia	interferon beta-1b
Eylea injection	aflibercept
Fabrazyme	agalsidase beta
Famvir	famciclovir tablet
Fanapt	iloperidone
Fareston	toremifene citrate
Farxiga Tablet	dapagliflozin
Farydak Capsule	panobinostat
Fasenra	benralizumab
Faslodex	fulvestrant
Feiba VH powder	coagulant complex inhibitor
Felbatol Oral Suspension	felbamate
Felbatol Tablets	felbamate
Feldene	piroxicam
Fentora	fentanyl buccal
Fetzima Extended Release Capsules	levomilnacipran
Finacea	azelaic acid
Finacea Foam	azelaic acid
Firazyr Injection	icatibant
Flagyl	metronidazole
Flarex	fluorometholone acetate suspension
Flebogamma	immune globulin iv (human)
Flector Patch 1.3%	diclofenac epolamine topical patch
Flexeril	Cyclobenzaprine
Florinef	fludrocortisone acetate
Flovent Diskus 100mcg	fluticasone propionate inhalation power
Flovent Diskus 250 mcg	fluticasone propionate inhalation power
Flovent Diskus 50mcg	fluticasone propionate inhalation power
Flovent HFA 110 mcg	fluticasone propionate inhalation aerosol
Flovent HFA 220 mcg	fluticasone propionate inhalation aerosol
Flovent HFA 44 mcg	fluticasone propionate inhalation aerosol
Focalin XR	dexmethylphenidate hcl
Folotyn	pralatrexate injection
Forfivo XL Tablet	bupropion
Forteo	teriparatide
Fosrenol	lanthanum carbonate
Fragmin	dalteparin sodium
FreeStyle Glucose Test Strips	glucose test strips
FreeStyle Meter Monitoring System	glucose meter
Frova 2.5mg	frovatriptan succinate
Fusilev Injection	levoleucovorin
Fycompa Tablet	perampanel
Gabitril	tiagabine HCI
Galzin	zinc acetate
Gammagard	immune globulin intravenous (human)
Gamunex-C	immune globulin; intravenous
Gardasil 9	human papillomavirus 9valent recombinant
Gattex Injectable	teduglutide
Gazyva	obinutuzumab
Gelnique	oxybutynin chloride
Gengraf Capsules	cyclosporine capsules, USP modified
Genotropin	somatropin
Genvoya	elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide
Geodon	ziprasidone HCI
Gilenya	fingolimod
Gilotrif Tablet	afatinib
Glassia Injection	alpha1-proteinase inhibitor (human)
Glatopa	glatiramer acetate injection
Gleevec	imatinib mesylate
Gliadel Wafer	polifeprosan 20 with carmustine implant
GlucaGen Hypokit	glucagon (rDNA) for injection
Glucagon	glucagon
Glucotrol	glipizide
Glynase PresTab	micronized glyburide
Glyset	miglitol
Glytrol	glytrol
Glyxambi Tablet	empagliflozin/linagliptin
Gonal-f prefilled pen	follintropin alpha
Gralise tablet	gabapentin
Granix Injection	tbo-filgrastim
H.P. Acthar Gel	corticotropin (ACTH)
Halaven Injection	eribulin mesylate
Halcion	triazolam
Haldol Decanoate Injection	haloperidol
Haldol injection	haloperidol injection
Harvoni tablet	ledipasvir/sofosbuvir
Havrix	hepatitis A vaccine, inactivated
Hectorol 4mcg/2ml injection	doxercalciferol
Helixate FS	antihemophilic factor (recombinant)
Hemabate	carboprost tromethamine,USP
Hemofil M AHF	antihemophilic factor
HepaGam B	(hepatitis B immune globulin i (human))
Heparin	sodium injection
Hepsera	adefovir dipivoxil
Herceptin	trastuzumab
Hizentra vial 20%	immune globulin subcutaneous (human)
Horizant	gabapentin enacarbil
Humalog Injection	insulin lispro injection
Humalog KwikPen	insulin lispro injection
Humalog KwikPen Mix 50/50	insulin lispro injection (rDNA)
Humalog KwikPen Mix 75/25	insulin lispro injection (rDNA)
Humalog Mix 50/50	50% Insulin Lispro Protamine Suspension, 50% Insulin Lispro Injection (rDNA)
Humalog Mix 75/25	human insulin lispro (rDNA)
Humate-P	antihemophilic factor/von willebrand factor complex (Human)
HUMIRA	adalimumab
Humulin 70/30	isophane human insulin (rDNA); human insulin (rDNA)
Humulin N Injection	NPH human insulin (rDNA)
Humulin R Injection	Regular human insulin (rDNA)
Humulin R U-500 Injection; Concentrated	regular insulin human [rDNA Origin]
Hyalgan	hyaluronate sodium
Hycamtin capsules	topotecan
Hycamtin injection	topotecan HCl
Hymovis	high molecular weight viscoelastic hyaluronan
Hypercare Solution Rx solution; topical	aluminum chloride/anhydrous ethyl alcohol solution; topical
HyQvia Injectable	immune globulin infusion human with recombinant human hyaluronidase
Hysingla ER	hydrocodone bitartrate
Ibrance	palbociclib
Iclusig	ponatinib
Idamycin	idarubicin hcl
Idelvion	coagulation factor IX (recombinant), albumin fusion protein
Idhifa	enasidenib
Ilaris	canakinumab
Ilevro	nepafenac suspension
Iluvien	fluocinolone acetonide implant
Imbruvica	ibrutinib
Imfinzi	durvalumab
Imitrex (Nasal Spray)	sumatriptan succinate
Imlygic	talimogene laherparepvec
Imogam	rabies immune globulin
Imovax	rabies vaccine
Impact Peptide 1.5	impact peptide 1.5
Increlex Injection	mecasermin
Incruse Ellipta	umeclidinium inhalation powder
InFed	infed
Inflectra	infliximab-dyyb
Ingrezza	valbenazine
Injectafer Injection	ferric carboxymaltose
Inlyta	axitinib
InnoPran XL	propranolol hydrochloride
Inspra	eplerenone
Intelence	etravirine
Intuniv Extended Release Tablets	guanfacine
Invanz	ertapenem
Invega	paliperidone
Invega Sustenna	paliperidone palmitate
Invega Trinza	paliperidone palmitate
Invokamet	canagliflozin-metformin
Invokamet XR	canagliflozin/metformin HCI
Invokana	canagliflozin
Iressa	gefitinib
Isentress	raltegravir
Istodax injection	romidepsin
Ixempra	ixabepilone
Jadenu Sprinkle granules	deferasirox
Jadenu Tablet	deferasirox
Jakafi Tablet	ruxolitinib
Jalyn	dutasteride and tamsulosin hydrochloride
Janumet	sitagliptin/metformin HCL
Janumet XR	sitagliptin/metformia HCI extended -release
Januvia	sitagliptin phosphate
Jardiance Tablet	empagliflozin
Jentadueto tablet	linagliptin/metformin HCI
Jentadueto XR	linagliptin and metformin hydrochloride extended-release
Jetrea Injection	ocriplasmin
Jevtana	cabazitaxel
Jublia	efinaconazole
Kadcyla Injection	ado-trastuzumab emtansine
Kalbitor injection 10mg/mL	ecallantide
Kaletra oral solution	lopinavir/ritonavir oral solution
Kaletra tablets	lopinavir/ritonavir capsules
Kalydeco	ivacaftor
Kanuma	sebelipase alfa
Kazano	alogliptin and metformin HCL
Kemadrin	procyclidine HCL
Kepivance	palifermin
Kevzara	sarilumab
Keytruda	pembrolizumab
Kineret	anakinra
Kisqali	ribociclib
Kisqali Femara Co-Pack tablets	ribociclib and letrozole
Klor-Con 8mEQ	potassium chloride ER tablet
Klor-Con M10	potassium chloride ER tablet
Kogenate FS	antihemophilic factor (recombinant)
Kombiglyze XR	saxagliptin/metformin hcl extended-release
Korlym tablets	mifepristone
Kovaltry	antihemophilic factor (recombinant)
Kristalose oral solution	lactulose
Krystexxa IV	pegloticase
Kuvan	sapropterin dihydrochloride
Kyleena	levonorgestrel-releasing intrauterine system
Kyprolis Injection	carfilzomib
Lacrisert Ophthalmic insert	hydroxypropyl cellulose opthalmic insert
Lamictal	lamotrigine
Lamictal ODT (patient titration kits)	lamotrigine
Lamictal Starter Kits	lamotrigine
Lamictal XR	lamotrigine
LAMICTAL XR Patient Titration Kits	lamotrigine
Lantus	insulin glargine
Lantus (SoloStar pen)	insulin glargine
Lartruvo	olaratumab injection
Latuda tablets	lurasidone HCI
Lazanda Nasal Spray	fentanyl citrate
Lemtrada	alemtuzumab
Lenvima	lenvatinib
Letairis Tablets	ambrisentan
Leukine	sargramostim
Levemir	insulin detemir (rDNA) injection
Levoleucovorin injection	levoleucovorin injection
Levoxyl	levothyroxine
Lexiscan	regadenoson injection
Lexiva oral suspension	fosamprenavir calcium
Lexiva tablets	fosamprenavir calcium
Lialda	mesalamine
Liletta Intrauterine Contraceptive Device	levonorgestrel
Lincocin	lincomycin
Linzess Capsules	linaclotide
Lioresal injectable	baclofen injectable; intrathecal
Lipitor	atorvastatin calcium
Lithostat	acetohydroxamine acid
Livalo	pitavastatin
LMX Anesthetic Cream 4%	lidocaine topical
Locoid Lotion .1%	hydrocortisone butyrate
Lodosyn tablets	carbidopa
Lomotil	diphenoxylate hydrochloride/atropine sulfate
Lonsurf	trifluridine and tipiracil
Lopid	gemfibrozil
Lorabid	loracarbef
Lotemax Gel 0.5%	loteprednol etabonate ophthalmic
Lotrisone Cream	clotrimazole/betamethasone cream
Lotrisone Lotion	clotrimazole & betamethasone diproprionate
Lotronex	alosetron HCL
Lovenox	enoxaparin sodium
Lucentis	ranibizumab injection
Lumigan	bimatoprost ophthalmic solution
Lumizyme IV	alglucosidase alfa
Lunesta	eszopiclone
Lupaneta Pack Injection/Tablet	leuprolide acetate/norethindrone acetate
Lupron Depot	leuprolide acetate
Lupron Depot (ped)	leuprolide acetate for depot supspension
Luzu Cream	luliconazole
Lynparza	olaparib
Lynparza Capsule	olaparib
Lyrica	pregabalin
Lysodren	mitotane
M-M-R ll	measles, mumps, and rubella virus vaccine live
Macugen injection	pegaptanb sodium
Makena Injection	hydroxyprogesterone caproate
Malarone tablets	atovaquone and proguanil hcl
Marinol capsules	dronabinol
Marplan	isocarboxazid
Marqibo Injectable	vinCRIStine sulfate
Mastisol	liquid adhesive
MatriStem Wound Matrix	lyophilized extracellular matrix
Matulane	procarbazine HCL
Maxalt	rizatriptan benzoate
Maxalt-MLT	rizatriptan benzoate
Maxidex	dexamethasone suspension
Medrol	methylprednisolone
Mekinist	trametinib
Melpaque HP cream	hydroquinone
Menactra	Polysaccharide Diphtheria Toxoid Conjugate Vaccine
Menest	esterified estrogens
Menomune	meningococcal polysaccharide vaccine
Menopur Injection	menotropins
Menostar	estradiol transdermal system
Mephyton tablets	phytonadione
Mepron suspension	atovaquone
Metabolic Products Powder	infant formula
Miacalcin	calcitonin-salmon
Mirena	levonorgestrel-releasing intrauterine system
Mirvaso Topical Gel	brimonidine
Monoclate-P	Antihemophilic Factor (Human) Factor VIII:C Pasteurized
MonoNine Injection	factor ix
Monovisc	sodium hyaluronate
Monurol Powder	fosfomycin
Movantik	naloxegol oxalate
MoviPrep	polyethylene glycol 3350, sodium sulfate, sodium chloride, potassium chloride, sodium ascorbate, and ascorbic acid for oral solution
Mozobil	plerixafor injection
MuGard oral rinse	mucadhesive
Multaq	dronedarone tablets
Mustargen Injection	mechlorethamine injectable
Mycamine injection	micafungin sodium
Mycobutin	rifabutin
Mydayis	(mixed salts of a single-entity amphetamine product
Myfortic	mycophenolic acid
Myobloc Injection	rimabotulinumtoxinB
Myozyme	alglucosidase alfa
Myrbetriq	mirabegron
Mytesi tablet; delayed-release	crofelemer
Namenda Oral Solution	memantine
Namenda Tablets	memantine hcl
Namenda Titration Pak	memantine hcl
Namenda XR capsule	memantine
Namzaric Capsules	memantine hydrochloride extended-_release and donepezil _hydrochloride
Nardil	phenelzine sulfate
Nascobal nasal spray	cyanocobalamin
Nasonex	mometasone furoate
Natazia	estradiol valerate and estradiol valerate/dienogest
Natpara Injection	parathyroid hormone
Neocate Powdered Formula	Neocate Powdered Formula
NeoProfen Injection	ibuprofen lysine
Neoral	cyclosporine
Nesina	alogliptin
Neulasta	pegfilgrastim
Neupogen	filgrastim
Neupro Transdermal System	rotigotine
Neurontin	gabapentin
Nevanac	nepafenac suspension
Nexavar	sorafenib
Nicotrol	nicotine
Ninlaro	ixazomib
Nitro-dur	nitroglycerin
Nitrostat	nitroglycerin
Norditropin FlexPro Injection	somatropin (rDNA origin)
Noritate Cream	metronidazole
Norpace	disopyramide
Northera Capsule	droxidopa
Norvasc	amlodipine besylate
Norvir oral solution	ritonavir oral solution
Norvir Soft Gelatin Capsules	ritonavir soft gelatin capsules
Norvir Tablets	ritonavir tablets
Novarel Injection	chorionic gonadotropin
Novoeight vial	antihemophilic factor (recombinant) vial
Novolin 70/30 Vials	insulin (rDNA)
Novolin N Vials	70% NPH/30% regular human insulin (rDNA)
Novolin R Vials	regular, human insulin injection (rDNA)
NovoLog	insulin analog injection
NovoLog Mix 70/30	insulin analog injection
NovoSeven RT injection	coagulation factor viia (recombinant)
Noxafil	posaconazole
Nplate	romiplostim
Nucala	mepolizumab
Nuedexta	dextromethorphan hydrobromide and quinidine sulfate
Nulojix	belatacept
Nutramigen Liquid	infant formula
Nutramigen Powder	infant formula
Nutren 1.0 with Fiber	nutren 1.0 with fiber
Nutren 1.5	nutren 1.5
Nutren Junior	nutren junior
Nutren Junior Fiber	nutren junior fiber
Nutropin AQ	somatropin (rDNA) injection
Nuvigil	armodafinil
Ocrevus	ocrelizumab
Odefsey	emtricitabine/rilpivirine/tenofovir alafenamide
Ofev Capsule	nintedanib
Omnaris Nasal Spray	ciclesonide
Omnitrope	somatropin [rDNA origin] for injection
Omnitrope Injection	somatropin (rDNA)
Onexton Gel	clindamycin phosphate and benzoyl peroxide
Onfi Tablet	clobazam
Onglyza	saxagliptin
Onivyde injection	irinotecan liposome
Opdivo Injection	nivolumab
Opsumit Tablet	macitentan
Optune Medical Device	tumor treating fields
Oracea Capsule	doxycycline
ORAP (tablets)	pimozide
Orbactiv	oritavancin
Orencia	abatacept
Orenitram tablet; extended release	treprostinil
Orfadin	nitisinone
Orkambi	lumacaftor/ivacaftor
Ortho-Prefest	estrogens and progestins
Orthovisc	hyaluronan
Oseni	alogliptin and pioglitazone
Otezla Tablet	apremilast
Otiprio	ciprofloxacin
Otrexup Injection	methotrexate
Ovidrel injection	choriogonadotropin alfa
Oxsoralen-Ultra	methoxsalen USP
Oxtellar XR Tablet	oxcarbazepine
Oxycontin Tablet	oxycodone
Ozurdex Intravitreal Implant	dexamethasone
Pamelor (capsules)	nortriptyline
Pamelor (solution)	nortriptyline
Pancreaze Delayed-Release Capsules	pancrelipase
Panhematin Injection	hemin
Parsabiv	etelcalcetide
Pataday	olopatadine hydrochloride solution
Pazeo	olopatadine hydrochloride solution
PCE Tablets	erythromycin
Peganone Tablets	ethotoin
Pegasys	peginterferon
Pegasys ProClick	peginterferon alfa-2a
Pennsaid	diclofenac sodium solution; topical
Pentasa	mesalamine
Peptamen	peptamen
Peptamen 1.5	peptamen 1.5
Peptamen Junior	peptamen junior
Peptamen Junior 1.5	nutritional supplement
Peptamen Junior Fiber	peptamen junior fiber
Peptamen Junior PreBio	peptamen junior prebio
Peptamen PreBio	peptamen prebio
Perforomist	formoterol fumarate
PERJETA	pertuzumab
Pertzye capsule	amylase/lipase/pancrelipase/protease
Pfizerpen	penicillin G potassium
Phoslyra	calcium acetate
Phospholine Iodide for Ophthalmic Solution	echothiophate iodide
Photofrin injection	porfimer sodium injection
Picato Gel	ingenol mebutate
Plegridy Injection	peginterferon beta1a
Pneumovax 23	pneumococcal vaccine polyvalent
Pomalyst capsule	pomalidomide
Portrazza	necitumumab
Potaba tablets	potassium p-aminobenzoate
Pradaxa Capsules	dabigatran etexilate
Praluent	alirocumab
Pred Forte Ophthalmic Suspension 1.0%	prednisolone acetate
Pregestimil Powder	infant formula
Premarin	conjugated estrogens
Premarin vaginal cream	conjugated estrogens
Premphase	conjugated estrogens/medroxyprogesterone acetate tablets
Prempro	conjugated estrogens; medroxyprogesterone acetate
Prenate AM tablets	Prenatal Vitamin
Prenate Chewable	Prenatal Vitamin
Prenate DHA tablets	Prenatal Vitamin
Prenate Elite tablets	Prenatal Vitamin
Prenate Enhance	vitamin/mineral supplement
Prenate Essential	Prenatal Vitamin DHA
Prenate Restore	vitamin/mineral supplement
Prenate Star	multivitamin/mineral
Prevacid SoluTab	lansoprazole
Prevnar 13	pneumococcal 13-valent conjugate vaccine [Diphtheria CRM197 Protein]
Prezcobix Tablets	darunavir/cobicistat
Prezista	darunavir
Prialt	ziconotide infusion
Priftin	rifapentine tablets
Primaxin IM	impenem-cilastatin
Primaxin IV	impenem-cilastatin
Primlev	Oxycodone HCI/Acetaminophen
Pristiq	desvenlafaxine
Privigen vial 10%	immune globulin intravenous (human)
ProAir Hfa inhaler	albuterol hfa
